,source,title,author,date,meter
33,Facebook posts,"""Monkeypox is a complete, fake sham” that’s “designed to force lockdowns, mandates and shots.”", Michael Majchrowicz ," August 26, 2022",pants-fire
34,Viral image,Video shows Tucker Carlson speechless in interview with a guest., Ciara O'Rourke ," August 26, 2022",false
35,Pitbull,"The COVID-19 pandemic was planned, and a 2019 simulation called Event 201 was a rehearsal for it.", Gabrielle Settles ," August 26, 2022",false
36,Republican Party of Florida,"Charlie Crist ""supported Biden's agenda to defund the police.""", Yacob Reyes ," August 26, 2022",false
37,Facebook posts,“U.S. is testing new most deadly nuclear bomb from B-1B Lancer.”, Ciara O'Rourke ," August 26, 2022",false
38,Viral image,Half of the votes for Joe Biden in the 2020 presidential election “are from dead people.”, Ciara O'Rourke ," August 26, 2022",pants-fire
39,Mark Kelly,Blake Masters “wants to pass a national ban on abortion.”, Tom Kertscher ," August 26, 2022",mostly-true
40,Facebook posts,"The deaths of U.S. Rep. Jackie Walorski, R-Ind., and actor Anne Heche are suspicious and linked because they “partnered fighting against pedophilia.”", Andy Nguyen ," August 26, 2022",false
41,Blake Masters,On privatizing Social Security., Tom Kertscher ," August 25, 2022",half-flip
42,Tweets,Image shows Trump is representing himself in a lawsuit against the United States government related to the FBI search of his Florida home., Andy Nguyen ," August 25, 2022",false
43,Ron Johnson,"""Last year the IRS audited Americans earning less than $25,000 a year at five times the rate of other groups.""", D.L. Davis ," August 25, 2022",mostly-true
44,Facebook posts,“US Army in Ukraine.”, Ciara O'Rourke ," August 24, 2022",false
45,Viral image,An image shows a chyron on Tucker Carlson’s show that said “straight men turning homo after ‘gay hypnosis.’”, Ciara O'Rourke ," August 24, 2022",pants-fire
46,Instagram posts,“Marjorie Taylor Greene was raided by Joe Biden’s DOJ last night.”, Ciara O'Rourke ," August 24, 2022",false
47,Bloggers,"In England, “COVID-19 vaccinated children are 4,423% more likely to die of any cause and 13,633% more likely to die of COVID-19 than unvaccinated children.”", Sara Swann ," August 24, 2022",false
48,Miguel Cardona,"""Adjusted for inflation, over the last 25 years teachers have made a $29 increase in their salary.""", Louis Jacobson ," August 24, 2022",half-true
49,Joe Biden,The American Rescue Plan “helped create nearly 10 million new jobs.”, Louis Jacobson ," August 24, 2022",barely-true
50,Viral image,"Image shows ""Florida's anti-woke banned book list.""", Yacob Reyes ," August 24, 2022",false
51,Facebook posts,A New England Journal of Medicine study found that vaccinated people are “5X more contagious than the unvaccinated 10 days after SARS-CoV-2 infection.”, Madison Czopek ," August 24, 2022",false
52,Ben Cline,"A new Democratic law “will make the IRS workforce larger than the Pentagon, FBI, State Department, and Customs and Border Patrol, combined.”", Warren Fiske ," August 24, 2022",barely-true
53,Instagram posts,"""Biden is adding more IRS agents to investigate your taxes than we have detectives investigating every crime in the country.”", Michael Majchrowicz ," August 23, 2022",false
54,Ben Kral,"“Violent crime (is) at an all-time high.""", Paul Specht ," August 23, 2022",false
55,Tom Cotton,"The Inflation Reduction Act ""doubles the size of the IRS, raises your taxes and spends billions on a green energy slush fund.""", Tom Kertscher ," August 23, 2022",barely-true
56,Facebook posts,Quotes Sarah Palin as saying “when Jesus celebrated Easter with his disciples there were no Easter bunnies or egg hunts.”, Andy Nguyen ," August 23, 2022",pants-fire
57,Instagram posts,“Congress just voted to exempt themselves from IRS auditing of their personal finances.”, Sara Swann ," August 23, 2022",false
58,Facebook posts,Video claims Google Street View shows Antarctica with green vegetation and brick buildings., Andy Nguyen ," August 23, 2022",false
59,Facebook posts,“Free health allowance is available at no cost.”, Gabrielle Settles ," August 22, 2022",false
60,Facebook posts,"“People born before 1957 are getting $1,728 added to their Social Security checks.”", Ciara O'Rourke ," August 19, 2022",false
61,Facebook posts,“96% of U.S. climate data is corrupted.”, Madison Czopek ," August 19, 2022",false
62,Facebook posts,Video implies talk between Barack Obama and Kamala Harris has coded references to pedophilia., Andy Nguyen ," August 19, 2022",pants-fire
63,Facebook posts,The Inflation Reduction Act expanded free health insurance to Americans under 65., Ciara O'Rourke ," August 19, 2022",false
64,Viral image,COVID-19 vaccines are responsible for the health problems featured in recent news reports., Ciara O'Rourke ," August 19, 2022",false
65,Viral image,“Tulsi Gabbard Venmos Nancy Pelosi $600.01 forcing the IRS to audit Pelosi’s finances.”, Ciara O'Rourke ," August 19, 2022",false
66,Nikki Fried,"""We also know (the Sierra Club) paid for those reporters"" at the Palm Beach Post.", Yacob Reyes ," August 19, 2022",pants-fire
67,Facebook posts,"Video shows Steve Bannon crying, “Trump is going to jail.”", Ciara O'Rourke ," August 19, 2022",false
68,Facebook posts,Photos show “an IRS agent training class.”, Ciara O'Rourke ," August 19, 2022",false
69,Viral image,Photo shows parents who changed their baby’s gender identity., Ciara O'Rourke ," August 19, 2022",pants-fire
70,Facebook posts,"“El congreso acaba de aprobar un reciente proyecto de ley para todos los que tengan más de $10,000 de deuda”.", Maria Ramirez Uribe ," August 19, 2022",false
71,League of Conservation Voters,Says Republican U.S. Sen. Ron Johnson “called climate change ‘bull----’ during a record heatwave” and “raked in over $700k in fossil fuel cash.”, Laura Schulte ," August 19, 2022",true
72,Facebook posts,Amazon is “running a promotion and giving away random packages for just $1!”, Gabrielle Settles ," August 18, 2022",false
73,Facebook posts,Video shows Mitch McConnell saying Nancy Pelosi “should be jailed!”, Ciara O'Rourke ," August 18, 2022",false
74,Facebook posts,"""The IRS is about to double in size, with 87,000 new armed agents and an additional $80 billion in order to primarily enhance IRS enforcement and operations.”", Jeff Cercone ," August 18, 2022",barely-true
75,Facebook posts,“Ted Cruz erupts as FBI director tries to defend Biden over Mar-a-Lago raid” in video., Ciara O'Rourke ," August 18, 2022",false
76,TikTok posts,Video shows former President Barack Obama sharing how to mislead the public., Jeff Cercone ," August 18, 2022",false
77,Glenn Grothman,"""With three months remaining in the Fiscal Year, (the border patrol) has already encountered more illegal immigrants along the Southwest border"" than in any previous fiscal year.", Vanessa Swales ," August 18, 2022",mostly-true
78,Rick Scott,"The IRS is adding 87,000 new agents, making the IRS “larger than (the) Pentagon, Federal Bureau of Investigation, Customs and Border Protection and the State Department combined.”", Maria Ramirez Uribe ," August 17, 2022",barely-true
79,Viral image,Leaked messages “between former President Barack Obama and Judge Reinhart foreshadowed the unlawful raid on former Trump’s Mar-a-Lago estate.”, Ciara O'Rourke ," August 17, 2022",false
80,Tim Scott,"“The Congressional Budget Office says 90% of the revenue generated from the new IRS agents will come from people making less than $200,000 … and the revenue generated will be $300-plus billion.”", Jon Greenberg ," August 17, 2022",false
81,Viral image,There’s polio in New York City’s tap water., Ciara O'Rourke ," August 17, 2022",false
82,Bob Good,"“Democrats are voting to add an army of 87,000 IRS agents who will target middle class taxpayers and conduct at least 1 million more audits each year. ”", Warren Fiske ," August 17, 2022",barely-true
83,Viral image,Video shows Congress voting for a highly classified “Homeland Terrorism Preparedness Bill.”, Ciara O'Rourke ," August 17, 2022",pants-fire
84,Facebook posts,Rep. Adam Kinzinger “admits Trump won” the 2020 presidential election., Ciara O'Rourke ," August 17, 2022",false
85,Instagram posts,Anne Heche was murdered by the illuminati because she was working on a movie about Jeffrey Epstein., Ciara O'Rourke ," August 16, 2022",false
86,Tony Evers,"""We are number one in the country as far as our spending (COVID-19 relief) money on businesses as it relates to the percentage of federal funds that we receive.""", D.L. Davis ," August 16, 2022",half-true
87,Facebook posts,"""Send your postcards to 5 key states to decertify fraud” in the 2020 election.", Amy Sherman ," August 16, 2022",pants-fire
88,Facebook posts,"Reuters reported that “White House employee Andrew Bates did use Nazi symbolism in a recent tweet.""", Madison Czopek ," August 16, 2022",false
89,Viral image,"The COVID-19 vaccine caused Ashton Kutcher to lose “vision, hearing and ability to walk.”", Ciara O'Rourke ," August 16, 2022",false
90,Facebook posts,Empty store shelves at a Walmart in South Carolina were because of a meat shortage., Gabrielle Settles ," August 16, 2022",false
91,Facebook posts,"“Liz Cheney cries like kids after loses in ‘primary’ against Trump’s pick,” two days before the primary election.", Andy Nguyen ," August 16, 2022",pants-fire
92,Viral image,“They put” monkeypox in the water in Atlanta., Ciara O'Rourke ," August 15, 2022",false
93,Viral image,"Donald Trump Jr. tweeted, “While my father loves almost all his supporters, please do not come to Mar-a-Lago to support President Trump. We have many important people coming through the club and need to keep it clean.”", Ciara O'Rourke ," August 15, 2022",false
94,Tweets,Video shows Ron DeSantis arguing with Sean Hannity, Yacob Reyes ," August 15, 2022",false
95,Facebook posts,"""Bill Gates and AOC say that a cow emits more pollution than a car.""", Andy Nguyen ," August 15, 2022",false
96,Stacey Abrams,"""Brian Kemp wants to investigate and punish women for having miscarriages.""", Tom Kertscher ," August 12, 2022",false
97,Tweets,"""Boston Children’s Hospital is now offering 'gender-affirming hysterectomies' for young girls.""", Yacob Reyes ," August 12, 2022",false
98,Tim Michels,On endorsing former President Donald Trump in 2024, D.L. Davis ," August 12, 2022",half-flip
99,Catherine Cortez Masto,"""Adam Laxalt fought an investigation into the oil industry, then they funded his campaign.""", Tom Kertscher ," August 12, 2022",half-true
100,Donald Trump,"""President Barack Hussein Obama kept 33 million pages of documents, much of them classified. How many of them pertained to nuclear? Word is, lots!""", Jon Greenberg ," August 12, 2022",pants-fire
101,Matt Gaetz,The government is arming up the IRS because “Joe Biden is raising taxes and disarming Americans.”, Jeff Cercone ," August 12, 2022",false
102,Viral image,A photo shows Ghislaine Maxwell and Bruce Reinhart., Ciara O'Rourke ," August 12, 2022",false
103,Republican Governors Association,"""Governor Tony Evers gave counties the green light to defund Wisconsin's police departments.""", Alan Hovorka ," August 12, 2022",barely-true
104,Kevin McCarthy,"“Democrats' new army of 87,000 IRS agents will be coming for you — with 710,000 new audits for Americans who earn less than $75k.”", Jon Greenberg ," August 11, 2022",barely-true
105,Viral image,"“Pennsylvania sent out 1,823,148 mail-in ballots. They got back 2,589,242.”", Ciara O'Rourke ," August 11, 2022",false
106,TikTok posts,"A ""Delta Force” seized a shipment of weapons headed to the IRS.", Jeff Cercone ," August 11, 2022",pants-fire
107,Yesli Vega,“Abigail Spanberger still votes with and shares Joe Biden’s positions 100% of the time.”, Warren Fiske ," August 11, 2022",mostly-true
108,Instagram posts,Electric cars in California are not sustainable as only 10% of their batteries are recyclable and the state can’t recycle them., Andy Nguyen ," August 11, 2022",false
109,Donald Trump,On taking the Fifth Amendment, Amy Sherman ," August 10, 2022",half-flip
110,Facebook posts,"""Urgente! China confirma la invasión de Los Ángeles y Baja California! Prepararon 1000 destructores!""", Nuria Diaz Muñoz ," August 10, 2022",false
111,Ron DeSantis,"""They are literally chopping off the private parts of young kids.""", Yacob Reyes ," August 10, 2022",barely-true
112,Facebook posts,"Former President Donald Trump asked “for troops around the Capitol to make sure everyone is safe,” on Jan. 6, 2021, but was “turned down by the Democrats.”", Madison Czopek ," August 10, 2022",false
113,Facebook posts,Video shows Clark County poll worker acting illegally by asking people to place their ballots into a bag outside of a drop box., Andy Nguyen ," August 10, 2022",false
114,Viral image,Photo shows electric cars that were bought for civil servants in France and then abandoned because “it was too expensive to replace the batteries.”, Ciara O'Rourke ," August 10, 2022",false
115,Michael Easley Jr.,“North Carolina is among some of the top states in the country for the number of ghost guns that are seized as crime guns.”, Paul Specht ," August 9, 2022",mostly-true
116,Facebook posts,“Ted Cruz leaks new document obtained from Hunter’s laptop implicating Nancy Pelosi.”, Ciara O'Rourke ," August 9, 2022",false
117,Facebook posts,"""Urgente! China prepara un ataque nuclear desde el espacio! Nueva York en alerta roja!""", Nuria Diaz Muñoz ," August 9, 2022",false
118,Beto O'Rourke,"""Under Abbott, Texas leads the nation in rape offenses while the rate of arrests for rape has fallen by nearly half.""", Nusaiba Mizan ," August 9, 2022",mostly-true
119,Facebook posts,Brittney Griner is really a man., Jeff Cercone ," August 9, 2022",pants-fire
120,Power to the Patients,"About a federal hospital price transparency requirement, “Nobody’s enforcing that law.”", Julie Appleby ," August 9, 2022",half-true
121,Mandela Barnes,“We have more oil and gas permits than ever before right now.”, Kelly Smits ," August 9, 2022",mostly-true
122,Viral image,"Photo shows a “massive” crowd at a Trump rally in Wisconsin on Aug. 5, 2022.", Sara Swann ," August 8, 2022",false
123,Karine Jean-Pierre,Overturning Roe v. Wade was an “unconstitutional action by” the Supreme Court., Louis Jacobson ," August 8, 2022",false
124,Instagram posts,There is documentation of bull sharks in the Great Lakes., Monique Curet ," August 5, 2022",false
125,American Prosperity Alliance,The Senate Democrats’ reconciliation bill “will strip $300 billion from Medicare.”, Louis Jacobson ," August 5, 2022",false
126,Tomi Lahren,“Biden wants to give illegals ID cards so they can start collecting American benefits.”, Maria Ramirez Uribe ," August 5, 2022",false
127,Facebook posts,"Consuming “rice and beans, milk, cheese, butter and eggs” causes disease by age 30.", Grace Abels ," August 5, 2022",pants-fire
128,Instagram posts,Suggests root canals are linked to breast cancer., Monique Curet ," August 5, 2022",false
129,Facebook posts,"""Congratulations to the IRS on winning the $846.3 million Mega Millions Jackpot.”", Andy Nguyen ," August 5, 2022",false
130,Rebecca Kleefisch,“Tim Michels pushed for years to raise (Wisconsin’s) gas tax.”, Madeline Heim ," August 5, 2022",barely-true
131,Facebook posts,The CDC has classified monkeypox as an airborne form of herpes that can lead to paralysis., Madison Czopek ," August 5, 2022",false
132,Instagram posts,"""AirPods are essentially microwaving your brain.”", Jeff Cercone ," August 4, 2022",false
133,Kat Cammack,"“In no way, shape, or form is access to contraception limited or at risk of being limited.”", Julie Rovner ," August 4, 2022",false
134,Facebook posts,Una ballena se traga a dos mujeres en California., Nuria Diaz Muñoz ," August 3, 2022",false
135,Adam Laxalt,"A Democratic bill negotiated between Sens. Joe Manchin and Chuck Schumer would ""increase taxes on millions of Americans across every income bracket.""", Louis Jacobson ," August 3, 2022",half-true
136,Instagram posts,"Nancy Pelosi and Democrats ""want to turn 150 million Americans into felons overnight"" with HR 1808.", Andy Nguyen ," August 3, 2022",false
137,Mehmet Oz,"John Fetterman wants to “eliminate life sentences for murderers.""", Tom Kertscher ," August 3, 2022",barely-true
138,Facebook posts,"""The Sun is out of place, the Moon is out of place and the stars are out of place. The compasses are off"" because of a shift in the Earth’s poles.", Grace Abels ," August 3, 2022",pants-fire
139,Facebook posts,"Synthetic cyanide-based B12 is a ""toxic ingredient in your kids vitamins.""", Gabrielle Settles ," August 2, 2022",false
140,Instagram posts,“China threatens to shoot Nancy Pelosi’s plane down if she visits Taiwan.”, Monique Curet ," August 2, 2022",false
141,Rebecca Kleefisch,"""There is absolutely no reason why Wisconsin should be facing a worker shortage to the level we are when there are 123,000 more able-bodied childless adults on BadgerCare since the pandemic.""", D.L. Davis ," August 2, 2022",barely-true
142,Tweets,Pens provided by Maricopa County are part of a plot to rig the Arizona primary., Amy Sherman ," August 1, 2022",false
143,Blake Masters,Sen. Mark Kelly “voted to legalize abortion up until the moment of birth.”, Jon Greenberg ," August 1, 2022",barely-true
144,Viral image,The Atlantic published a story titled “Quiet Courage of Biden’s Negative Growth Economy”, Andy Nguyen ," August 1, 2022",false
145,National Republican Congressional Committee,“Abigail Spanberger is raking in thousands from defund the police groups because she supports defunding the police.”, Warren Fiske ," August 1, 2022",false
146,Mariannette Miller-Meeks,The Democrats’ Women’s Health Protection Act of 2022 “would permit abortion up until delivery.”, Nina Baker ," August 1, 2022",barely-true
147,Kari Lake,"""Karrin Taylor Robson gave illegals tuition discounts and made us pay for it.""", Maria Ramirez Uribe ," August 1, 2022",half-true
148,Facebook posts,"You can't pour water on flames from an electric car battery because “water makes lithium burn.""", Yacob Reyes ," July 29, 2022",false
149,Facebook posts,“Know what they always find in Alzheimer’s patients? Excessive aluminum in the brain. Know what makes your body hoard aluminum? Fluoride.”, Monique Curet ," July 29, 2022",false
150,Viral image,"A cure for cancer, known as a Rife machine, was found in 1934.", Grace Abels ," July 29, 2022",false
151,Facebook posts,Baby carrots are soaked in bleach and can cause cancer., Gabrielle Settles ," July 29, 2022",false
152,Facebook posts,"In its July “red alert” for extreme heat, the U.K.'s Met Office warned that high temperatures could cause blood clotting.", Kristin Hugo ," July 29, 2022",false
153,Facebook posts,"""A Jackson, Tennessee, employee passed out this morning from handling a dollar bill with fentanyl on it.""", Andy Nguyen ," July 29, 2022",false
154,Facebook posts,"“‘Monkeypox’ is only circulating in countries where the Pfizer vaccine has been distributed and is being used to advance a Technocratic Great Reset.""", Madison Czopek ," July 29, 2022",false
155,The Gateway Pundit,"“Three doctors from the same hospital ‘die suddenly’ in the same week,” after the hospital mandated a fourth COVID-19 vaccine for employees.", Monique Curet ," July 29, 2022",false
156,Facebook posts,"Dr. Birx ""changes tune on"" COVID-19 vaccines and ""admits vaccines don't work.""", Yacob Reyes ," July 29, 2022",false
157,The Gateway Pundit,"In 2020, “250,000 ballots were manufactured” in Georgia and “Biden was given win” by Secretary of State Brad Raffensperger", Amy Sherman ," July 29, 2022",pants-fire
158,Robin Vos,“The legislature has long maintained that the law never allowed these illegal drop boxes.”, Madeline Heim ," July 29, 2022",barely-true
159,Janet Yellen,"""We've cut the deficit by a record $1.5 trillion this year.""", Louis Jacobson ," July 28, 2022",half-true
160,Viral image,NASA photos of the moon and Earth show that “space is fake.”, Grace Abels ," July 28, 2022",pants-fire
161,One Nation,Raphael Warnock and Catherine Cortez Masto “voted to allow hundreds of millions of dollars of COVID relief funds to be squandered” on leisure projects., Tom Kertscher ," July 28, 2022",half-true
162,Facebook posts,The entire banking system in Canada is closing down., Jill Terreri Ramos ," July 28, 2022",false
163,Viral image,A “small area” in western Texas and southeastern New Mexico “has enough oil to fuel America for the next 200 years.”, Grace Abels ," July 28, 2022",false
164,Instagram posts,"""Plankton in the Atlantic Ocean is 90% gone.""", Andy Nguyen ," July 27, 2022",false
165,Instagram posts,Jane Goodall’s comments about population growth at World Economic Forum show COVID-19 pandemic was planned., Jeff Cercone ," July 27, 2022",pants-fire
166,Facebook posts,Germany weather maps show media exaggerating effects of climate change., Jeff Cercone ," July 27, 2022",false
167,Tim Ryan,"Instead of fighting opioid addiction, a nonprofit founded by J.D. Vance paid his “top political adviser” and funded “political polling.”", Tom Kertscher ," July 27, 2022",mostly-true
168,Instagram posts,‘The White House is now trying to protect Joe Biden by changing the definition of the word recession.', Louis Jacobson ," July 27, 2022",false
169,Facebook posts,"""To date, nobody has been able to show that there is a law for the average American citizen working day in and day out to pay an income tax.""", Monique Curet ," July 26, 2022",pants-fire
170,Marco Rubio,"Val Demings ""called abolishing the police 'thoughtful.'""", Yacob Reyes ," July 26, 2022",false
171,Facebook posts,"""The emissions generated by watching 30 minutes of Netflix is the same as driving almost 4 miles.”", Kristin Hugo ," July 26, 2022",false
172,Francesca Hong,"""In the Wisconsin State Assembly this session, more than 75% of GOP bills received a public hearing. Meanwhile, the GOP allowed less than 2% of Democratic bills to have a hearing.""", Alan Hovorka ," July 26, 2022",true
173,Facebook posts,“Supreme Court FINALLY signs VERDICT to IMPEACH Speaker Pelosi as Hunter’s Laptop IMPLICATES her.”, Andy Nguyen ," July 26, 2022",pants-fire
174,Instagram posts,"Antarctica has “an entrance to a different world” — a “mythic land” with green forests, giant animals, and “extraterrestrial technologies.”", Luiz Romero ," July 26, 2022",pants-fire
175,Qasim Rashid,"""North Carolina GOP is re-introducing a bill that says life begins at conception and anyone who destroys that fertilized egg is guilty of first-degree murder.""", Paul Specht ," July 25, 2022",barely-true
176,American Commitment,Sen. Joe Manchin and AARP “support government price-setting schemes” to divert money from Medicare to “unrelated government programs or pad big insurers’ profits.”, Colleen DeGuzman ," July 25, 2022",false
177,Facebook posts,"Jim Jordan said, “It’s finally happening! Adam Schiff will be impeached.”", Ciara O'Rourke ," July 22, 2022",pants-fire
178,Donald Trump,Ranked choice voting in Alaska is a “total rigged deal.”, Amy Sherman ," July 22, 2022",pants-fire
179,Charlie Crist,"Ron DeSantis ""opposes any background checks on guns, even for violent criminals.""", Yacob Reyes ," July 22, 2022",barely-true
180,Instagram posts,"""If every person on earth just recycled, stopped using plastic straws, and drove an electric car, 100 corporations would still produce 70% of total global emissions.""", Ellie Borst ," July 22, 2022",false
181,Facebook posts,“Jill Biden makes stunning admission after” President Joe Biden tested positive for COVID-19., Ciara O'Rourke ," July 22, 2022",false
182,Viral image,George Floyd and COVID-19 “never existed.”, Ciara O'Rourke ," July 22, 2022",pants-fire
183,Viral image,The New York Times reported on a conservative activist’s “superdiarrhea.”, Ciara O'Rourke ," July 22, 2022",false
184,Herschel Walker,"Democrats, including President Joe Biden, “stopped domestic drilling” for oil, driving gasoline prices higher.", Louis Jacobson ," July 22, 2022",false
185,Dave LaRock,“Virginia now has the most liberal abortion laws in the world.”, Warren Fiske ," July 22, 2022",barely-true
186,Instagram posts,Tennessee court rules “taxpayer-funded establishments can place signs that say ‘No Jews allowed.’”, Jeff Cercone ," July 22, 2022",false
187,Facebook posts,“The gunman at Greenwood Park Mall was a CIA asset.”, Madison Czopek ," July 21, 2022",false
188,Viral image,A Texas farmer was “arrested for using illegal immigrants for free labor by pretending to be Joe Biden.”, Ciara O'Rourke ," July 21, 2022",false
189,Instagram posts,Video shows Joe Biden sleeping at the Arab Conference in Saudi Arabia., Ciara O'Rourke ," July 21, 2022",false
190,Beto O'Rourke,"""38,000 Texans had their license to carry denied, revoked, or suspended over the last five years because law enforcement deemed them too dangerous to carry a loaded gun in public. But thanks to Greg Abbott's new law, they don't need a license to carry anymore.""", Nusaiba Mizan ," July 21, 2022",barely-true
191,TikTok posts,An image shows Rep. Marjorie Taylor Greene in front of a cross with a figurine of former President Donald Trump on it., Bill McCarthy ," July 21, 2022",false
192,Facebook posts,"Donald Trump gave a speech in Prescott Valley, Arizona, on July 18, 2022.", Ciara O'Rourke ," July 21, 2022",false
193,Facebook posts,“Biden threatens to assassinate Ukraine president.”, Ciara O'Rourke ," July 21, 2022",pants-fire
194,Mehmet Oz,“John Fetterman wants to release one-third of dangerous criminals back into our communities.”, Tom Kertscher ," July 21, 2022",barely-true
195,Tim Michels,“My company was building the Keystone Pipeline when (President Joe) Biden canceled it.”, Kelly Smits ," July 21, 2022",mostly-true
196,Facebook posts,Ukraine President Volodymyr Zelenskyy makes $11 million a month and has a net worth of $596 million., Andy Nguyen ," July 21, 2022",false
197,Tim Michels,"The cancellation of the Keystone XL pipeline by Joe Biden “killed hundreds of jobs, sent gas prices way up.”", Kelly Smits ," July 21, 2022",barely-true
198,Instagram posts,Rep. Alexandria Ocasio-Cortez was “faking being arrested” during an abortion-rights protest outside the Supreme Court., Bill McCarthy ," July 20, 2022",false
199,Facebook posts,Images of Plymouth Rock prove sea levels are not rising., Madison Czopek ," July 20, 2022",false
200,Zach Nunn,"“My opponent, Cindy Axne, has actively sought to defund the police.”", Sam Knupp ," July 20, 2022",false
201,Facebook posts,Benadryl can be used to reduce swelling from rattlesnake bites., Andy Nguyen ," July 20, 2022",false
202,Sarah Godlewski,"""Fifty-four percent of Wisconsinites live in a child care desert.""", Alan Hovorka ," July 20, 2022",mostly-true
203,Instagram posts,"“Third grade reading scores in the USA help correctional institutions predict how many beds they'll need in the future.""", Gabrielle Settles ," July 20, 2022",pants-fire
204,Facebook posts,"""Antifa was already inside the Capitol with floor plans dressed as Trump supporters"" on Jan. 6, 2021, proving the attack “was 100% a setup.""", Bill McCarthy ," July 19, 2022",false
